Scheme	Count	Accuracy
FgLum	133.515625	99.54566635601118
BgLum	133.859375	99.80195712954334
Syn	0.3125	100.0
BL	63.71875	98.21772639691714
WS	11.09375	90.67688378033206
CW	17.046875	99.81701738334858
