Scheme	Count	Precision	Recall
FgLum	134	100.0	85.07462686567165
BgLum	134	100.0	91.7910447761194
Syn	0	NaN	NaN
BL	64	100.0	71.875
WS	12	NaN	0.0
CW	17	100.0	88.23529411764706
