Document	Chars	Words	Pages	Total	FG	BG	BL	CW	WS	Syn
DofI	8169	1339	3	215.90625	81.265625	81.265625	40.6328125	4.6171875	7.9140625	0.2109375
Twain	14730	2630	5	239.20703125	89.7890625	89.7890625	44.89453125	4.75390625	9.765625	0.21484375
SofU	34334	6093	10	239.37326388888889	89.68055555555556	89.68055555555556	44.84027777777778	5.282986111111111	9.6875	0.2013888888888889
Turing	67392	11754	20	240.8141447368421	90.3125	90.3125	45.15625	5.2319078947368425	9.54358552631579	0.2574013157894737
