document	FgLum	BgLum	BL	CW	WS	Syn
DofI.txt	123.21875	123.21875	61.609375	32.0625	12.0625	0.25
Moby.txt	141.96875	141.96875	70.984375	36.3125	15.671875	0.453125
Turing.txt	117.40625	117.40625	58.703125	28.78125	13.203125	0.234375
SofU.txt	136.6875	136.6875	68.34375	34.8125	15.140625	0.28125

