
#Name	Users	Documents	Theories	Time
"1u1d"	1	1	1	5.218
"2u1d"	2	1	2	5.367
"1u4d"	1	4	4	5.663
"2u4d"	2	4	8	7.827
"8u2d"	8	2	16	14.989
"8u4d"	8	4	32	29.724
"8u8d"	8	8	64	59.059
"16u8d"	16	8	128	117.532
"16u16d"	16	16	256	235.342
"32u16d"	32	16	512	468.961

