
#Scheme	Count	Accuracy
Scheme	Turing	Turing
FG	1728.921875	99.79347041847042
BG	1728.75	99.78354978354979
BL	853.46875	98.52453102453103
CW	225.1875	99.94452149791955
WS	164.71875	89.69624776652769
Syn	4.9375	99.6845425867508

