
#Scheme	Count	Precision	Recall
Scheme	DofI	DofI	DofI
FG	213	100.0	0.4694835680751174
BG	213	100.0	92.01877934272301
BL	106	100.0	12.264150943396226
CW	11	100.0	18.181818181818183
WS	20	100.0	20.0
Syn	0	NaN	NaN

Total	563	100.0	38.36589698046181

