
#Document	Load	Type	Save
Scheme	BL	BL	BL
DofI	12.078	-	22.784
Twain	23.757	-	44.807


#Document	Load	Type	Save
Scheme	+CW	+CW	+CW
DofI	15.63	-	25.991
Twain	29.425	-	50.388


#Document	Load	Type	Save
Scheme	+CW	+CW	+CW
DofI	16.546	-	26.85
Twain	29.968	-	51.975


#Document	Load	Type	Save
Scheme	+Syn	+Syn	+Syn
DofI	21.981	-	31.664
Twain	41.467	-	63.386

