#Abbrev	WS	BL	BgLum	FgLum	CW	Syn
WS	7089.841200783119	0	0	0	0	0
+BL	5726.266471449488	1363.5747293336317	0	0	0	0
+BgLum	5474.580067189249	251.6864042602383	1363.5747293336317	0	0	0
+FgLum	5112.203283488445	362.3767837008045	251.6864042602383	1363.5747293336317	0	0
+CW	3485.0299401197603	1627.1733433686845	362.3767837008045	251.6864042602383	1363.5747293336317	0
+Syn	2622.703569995989	862.3263701237715	1627.1733433686845	362.3767837008045	251.6864042602383	1363.5747293336317
