#Abbrev	WS	BL	BgLum	FgLum	CW	Syn
WS	3619.590567504534	0	0	0	0	0
+BL	3243.7381813356337	375.85238616890047	0	0	0	0
+BgLum	3314.5530356961253	-70.81485436049161	375.85238616890047	0	0	0
+FgLum	2942.489993680219	372.0630420159064	-70.81485436049161	375.85238616890047	0	0
+CW	2247.05260496863	695.4373887115889	372.0630420159064	-70.81485436049161	375.85238616890047	0
+Syn	1929.7941836212663	317.25842134736376	695.4373887115889	372.0630420159064	-70.81485436049161	375.85238616890047
