#Abbrev	Syn	CW	WS	BgLum	BL	FgLum
Syn	689.4570525711003	0	0	0	0	0
+CW	647.7732793522267	41.683773218873625	0	0	0	0
+WS	178.8242306832576	468.9490486689691	41.683773218873625	0	0	0
+BgLum	104.12599245086557	74.69823823239204	468.9490486689691	41.683773218873625	0	0
+BL	71.09215320359016	33.03383924727541	74.69823823239204	468.9490486689691	41.683773218873625	0
+FgLum	57.4712643678161	13.62088883577406	33.03383924727541	74.69823823239204	468.9490486689691	41.683773218873625
